명 칭,소 재 지,건물 연면적(㎡),소장 장서수(권),비고
꿈나무작은도서관,"대전광역시 대덕구 계족산로5번길 83, (법동)",61.23,"1,900",사립
꿈놀작은도서관,"대전광역시 대덕구 대덕대로1508번길 30, (목상동)",140.68,"7,085",공립
꿈사랑작은도서관,대전광역시 대덕구 송촌북로36번길 10,60.49,"6,231",사립
대창무지개도서관,대전광역시 대덕구 벚꽃길 142(대창아파트),98,"7,900",사립
대화동작은도서관,대전광역시 대덕구 동심5길 10(대화동주민센터),159,"4,381",공립
덕암동작은도서관,대전광역시 대덕구 덕암북로104번길 60(덕암동주민센터),297.75,"4,730",공립
덕암어린이작은도서관,"대전광역시 대덕구 덕암북로104번길 37, (덕암동)",61.74,"3,984",공립
둥근빛작은도서관,대전광역시 대덕구 계족로663번길 34(주공아파트3단지),165,"10,223",사립
또바기어린이도서관,"대전광역시 대덕구 신탄진로218번길 53, (와동)",160.38,"9,400",사립
루터도서관,"대전광역시 대덕구 신탄진로762번길 84, (신탄진동)",46,"3,653",사립
마루마을어린이도서관,"대전광역시 대덕구 동춘당로 171, (법동)",62.15,"8,157",사립
만나도서관,"대전광역시 대덕구 비래서로81번길 30, (비래동)",33,"1,300",사립
만두레작은도서관,"대전광역시 대덕구 오정로78번길 24, (오정동)",33,"4,386",사립
목상동작은도서관,대전광역시 대덕구 대덕대로1470번길 7(목상동주민센터),33,"7,482",공립
법1동작은도서관,대전광역시 대덕구 계족로663번길 36(법1동주민센터),35,"5,653",공립
법2동작은도서관,대전광역시 대덕구 동춘당로 187(법2동주민센터),66,"8,994",공립
보물단지작은도서관,"대전광역시 대덕구 옛신탄진로 121, (오정동)",148.5,"2,556",사립
비래동작은도서관,대전광역시 대덕구 비래동로 10(비래동주민센터),37.2,"7,235",공립
사랑과행복나눔작은도서관,"대전광역시 대덕구 덕암로265번길 81, (덕암동, 덕암아파트)",35.97,"1,482",사립
석봉동작은도서관,대전 대덕구 석봉동,82.645,"2,500",사립
석봉동작은도서관(공립),"대전광역시 대덕구 석봉로37번길 15, (석봉동)",33.6,"2,459",공립
선비2단지작은도서관,대전광역시 대덕구 동춘당로114번길 47(선비마을2단지아파트),180,"4,706",사립
선비4단지작은도서관,"대전광역시 대덕구 계족산로 135, (송촌동, 선비마을아파트)",148.8,"15,604",사립
소망작은도서관,"대전광역시 대덕구 대전로1033번길 25, (오정동)",40.83,"2,773",사립
송촌동작은도서관,"대전광역시 대덕구 송촌로79번길 28, (송촌동)",80.08,"5,727",공립
송촌마을도서관,"대전광역시 대덕구 송촌로79번길 28, (송촌동)",99.172,"9,486",사립
신탄진동작은도서관,대전광역시 대덕구 신탄진로 830(신탄진동주민센터),210,"7,536",공립
엑슬루아파트 작은도서관,"대전광역시 대덕구 대덕대로 1555, (석봉동, 금강엑슬루타워)",228.545,"2,500",사립
예성도서관,"대전광역시 대덕구 한밭대로1098번길 16, (중리동)",69,"2,900",사립
오정동작은도서관,"대전광역시 대덕구 한밭대로972번길 92, (오정동)",33,"3,350",공립
오정북카페,"대전광역시 대덕구 동산초교로 82, (오정동)",41,"2,589",사립
용전작은도서관,대전광역시 대덕구 계족로505번길 85(용전교회),140,"4,935",사립
우리동네작은도서관,"대전광역시 대덕구 대전로1177번길 34, (오정동)",62.25,"4,365",사립
자람자람작은도서관,"대전광역시 대덕구 대전로1032번길 51, (오정동)",33.05,"2,820",사립
중리동작은도서관,대전광역시 대덕구 중리남로 47(중리동주민센터),60,"2,945",공립
초록우산도서관,"대전광역시 대덕구 우암동로15번길 20, (비래동)",55,"5,141",사립
회덕동작은도서관,"대전광역시 대덕구 대전로 1376, (읍내동)",92.52,"3,437",공립
회덕작은도서관,대전 대덕구 읍내동,177,"7,106",공립
희망작은도서관,"대전광역시 대덕구 대전로1033번길 20, (오정동)",50,"3,250",공립
SF영어작은도서관,"대전광역시 대덕구 우암로 412, (비래동)",208.34,"2,000",사립
